"SEQ_NO","ALL_KWRD_RANK_CO","SRCHWRD_NM","UPPER_CTGRY_NM","LWPRT_CTGRY_NM","GENRE_NM","MOBILE_SCCNT_VALUE","PC_SCCNT_VALUE","SCCNT_SM_VALUE","SCCNT_DE"
"24065","1","뮤지컬아이다","문화공연","뮤지컬","라이선스","171","2394","2565","20220601"
"24066","2","뮤지컬레베카","문화공연","뮤지컬","창작","59","735","794","20220601"
"24067","3","뮤지컬빨래","문화공연","뮤지컬","창작","103","410","513","20220601"
"24068","4","뮤지컬킹아더","문화공연","뮤지컬","라이선스","34","469","503","20220601"
"24069","5","뮤지컬웃는남자","문화공연","뮤지컬","창작","43","445","488","20220601"
"24070","6","뮤지컬리지","문화공연","뮤지컬","어린이/가족","36","362","398","20220601"
"24071","7","뮤지컬영웅","문화공연","뮤지컬","창작","48","307","355","20220601"
"24072","8","뮤지컬하데스타운","문화공연","뮤지컬","라이선스","18","309","327","20220601"
"24073","9","뮤지컬차미","문화공연","뮤지컬","창작","47","270","317","20220601"
"24074","10","신비아파트뮤지컬","문화공연","뮤지컬","창작","14","292","306","20220601"
