"SEQ_NO","ALL_KWRD_RANK_CO","SRCHWRD_NM","UPPER_CTGRY_NM","LWPRT_CTGRY_NM","GENRE_NM","MOBILE_SCCNT_VALUE","PC_SCCNT_VALUE","SCCNT_SM_VALUE","SCCNT_DE"
"18505","1","뮤지컬그날들","문화공연","뮤지컬","창작","369","1308","1677","20201201"
"18506","2","신비아파트뮤지컬","문화공연","뮤지컬","창작","61","503","564","20201201"
"18507","3","뮤지컬캣츠","문화공연","뮤지컬","창작","154","355","509","20201201"
"18508","4","뮤지컬호프","문화공연","뮤지컬","창작","90","272","362","20201201"
"18509","5","뮤지컬작은아씨들","문화공연","뮤지컬","창작","66","270","336","20201201"
"18510","6","뮤지컬모차르트","문화공연","뮤지컬","라이선스","73","238","311","20201201"
"18511","7","뮤지컬빨래","문화공연","뮤지컬","창작","128","177","305","20201201"
"18512","8","뮤지컬엑스칼리버","문화공연","뮤지컬","창작","93","149","242","20201201"
"18513","9","뮤지컬젠틀맨스가이드","문화공연","뮤지컬","라이선스","46","159","205","20201201"
"18514","10","뮤지컬웃는남자","문화공연","뮤지컬","창작","39","154","193","20201201"
