"SEQ_NO","ALL_KWRD_RANK_CO","SRCHWRD_NM","UPPER_CTGRY_NM","LWPRT_CTGRY_NM","GENRE_NM","MOBILE_SCCNT_VALUE","PC_SCCNT_VALUE","SCCNT_SM_VALUE","SCCNT_DE"
"21245","1","뮤지컬엑스칼리버","문화공연","뮤지컬","창작","521","3005","3526","20210901"
"21246","2","뮤지컬마리앙투아네트","문화공연","뮤지컬","라이선스","642","2583","3225","20210901"
"21247","3","뮤지컬광화문연가","문화공연","뮤지컬","창작","283","2542","2825","20210901"
"21248","4","뮤지컬헤드윅","문화공연","뮤지컬","라이선스","604","2131","2735","20210901"
"21249","5","뮤지컬지킬앤하이드","문화공연","뮤지컬","라이선스","470","1750","2220","20210901"
"21250","6","뮤지컬빌리엘리어트","문화공연","뮤지컬","라이선스","371","1606","1977","20210901"
"21251","7","뮤지컬사랑했어요","문화공연","뮤지컬","창작","211","1720","1931","20210901"
"21252","8","뮤지컬하데스타운","문화공연","뮤지컬","라이선스","225","1056","1281","20210901"
"21253","9","뮤지컬박정희","문화공연","뮤지컬","창작","282","759","1041","20210901"
"21254","10","뮤지컬판","문화공연","뮤지컬","창작","173","788","961","20210901"
