"SEQ_NO","ALL_KWRD_RANK_CO","SRCHWRD_NM","UPPER_CTGRY_NM","LWPRT_CTGRY_NM","GENRE_NM","MOBILE_SCCNT_VALUE","PC_SCCNT_VALUE","SCCNT_SM_VALUE","SCCNT_DE"
"19715","1","뮤지컬시카고","문화공연","뮤지컬","라이선스","1634","5710","7344","20210401"
"19716","2","뮤지컬드라큘라","문화공연","뮤지컬","라이선스","684","1676","2360","20210401"
"19717","3","뮤지컬블루레인","문화공연","뮤지컬","창작","382","1668","2050","20210401"
"19718","4","뮤지컬미드나잇","문화공연","뮤지컬","라이선스","155","386","541","20210401"
"19719","5","뮤지컬캣츠","문화공연","뮤지컬","창작","123","416","539","20210401"
"19720","6","뮤지컬광주","문화공연","뮤지컬","라이선스","83","250","333","20210401"
"19721","7","뮤지컬쓰릴미","문화공연","뮤지컬","라이선스","100","233","333","20210401"
"19722","8","뮤지컬꼬마버스타요","문화공연","뮤지컬","어린이/가족","65","192","257","20210401"
"19723","9","신비아파트뮤지컬","문화공연","뮤지컬","창작","36","203","239","20210401"
"19724","10","뮤지컬팬레터","문화공연","뮤지컬","창작","49","187","236","20210401"
