SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,GENRE_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
28283,1,뮤지컬시카고,문화공연,뮤지컬,라이선스,553,1584,2137,20230601
28284,2,뮤지컬시카고,문화공연,뮤지컬,라이선스,553,1584,2137,20230601
28285,3,뮤지컬영웅,문화공연,뮤지컬,창작,233,1381,1614,20230601
28286,4,뮤지컬빨래,문화공연,뮤지컬,창작,146,640,786,20230601
28287,5,뮤지컬모차르트,문화공연,뮤지컬,라이선스,138,445,583,20230601
28288,6,뮤지컬맘마미아,문화공연,뮤지컬,창작,89,307,396,20230601
28289,7,뮤지컬그리스,문화공연,뮤지컬,뮤지컬,71,285,356,20230601
28290,8,뮤지컬그날들,문화공연,뮤지컬,창작,72,261,333,20230601
28291,9,뮤지컬그날들,문화공연,뮤지컬,창작,72,261,333,20230601
28292,10,뮤지컬그날들,문화공연,뮤지컬,창작,72,261,333,20230601
