"SEQ_NO","ALL_KWRD_RANK_CO","SRCHWRD_NM","UPPER_CTGRY_NM","LWPRT_CTGRY_NM","GENRE_NM","MOBILE_SCCNT_VALUE","PC_SCCNT_VALUE","SCCNT_SM_VALUE","SCCNT_DE"
"24905","1","뮤지컬아이다","문화공연","뮤지컬","라이선스","324","2320","2644","20220701"
"24906","2","뮤지컬웃는남자","문화공연","뮤지컬","창작","169","894","1063","20220701"
"24907","3","뮤지컬빨래","문화공연","뮤지컬","창작","157","566","723","20220701"
"24908","4","신비아파트뮤지컬","문화공연","뮤지컬","창작","72","565","637","20220701"
"24909","5","뮤지컬엘리자벳","문화공연","뮤지컬","라이선스","101","452","553","20220701"
"24910","6","뮤지컬레베카","문화공연","뮤지컬","창작","51","453","504","20220701"
"24911","7","뮤지컬팬레터","문화공연","뮤지컬","창작","80","375","455","20220701"
"24912","8","뮤지컬영웅","문화공연","뮤지컬","창작","57","244","301","20220701"
"24913","9","뮤지컬차미","문화공연","뮤지컬","창작","52","185","237","20220701"
"24914","10","뮤지컬사의찬미","문화공연","뮤지컬","창작","22","192","214","20220701"
