"SEQ_NO","ALL_KWRD_RANK_CO","SRCHWRD_NM","UPPER_CTGRY_NM","LWPRT_CTGRY_NM","GENRE_NM","MOBILE_SCCNT_VALUE","PC_SCCNT_VALUE","SCCNT_SM_VALUE","SCCNT_DE"
"20625","1","뮤지컬드라큘라","문화공연","뮤지컬","라이선스","945","3184","4129","20210701"
"20626","2","뮤지컬마리앙투아네트","문화공연","뮤지컬","라이선스","445","1946","2391","20210701"
"20627","3","뮤지컬헤드윅","문화공연","뮤지컬","라이선스","436","1884","2320","20210701"
"20628","4","뮤지컬엑스칼리버","문화공연","뮤지컬","창작","279","1636","1915","20210701"
"20629","5","뮤지컬시카고","문화공연","뮤지컬","라이선스","266","1342","1608","20210701"
"20630","6","뮤지컬광화문연가","문화공연","뮤지컬","창작","208","924","1132","20210701"
"20631","7","뮤지컬1976할란카운티","문화공연","뮤지컬","창작","183","809","992","20210701"
"20632","8","신비아파트뮤지컬","문화공연","뮤지컬","창작","64","537","601","20210701"
"20633","9","뮤지컬마마돈크라이","문화공연","뮤지컬","창작","109","463","572","20210701"
"20634","10","뮤지컬바보사랑","문화공연","뮤지컬","창작","92","439","531","20210701"
