"SEQ_NO","ALL_KWRD_RANK_CO","SRCHWRD_NM","UPPER_CTGRY_NM","LWPRT_CTGRY_NM","GENRE_NM","MOBILE_SCCNT_VALUE","PC_SCCNT_VALUE","SCCNT_SM_VALUE","SCCNT_DE"
"14325","1","뮤지컬아이다","문화공연","뮤지컬","라이선스","9226","735","9961","20191201"
"14326","2","뮤지컬레베카","문화공연","뮤지컬","라이선스","8509","732","9241","20191201"
"14327","3","뮤지컬보디가드","문화공연","뮤지컬","뮤지컬","4780","817","5597","20191201"
"14328","4","뮤지컬스위니토드","문화공연","뮤지컬","라이선스","3622","315","3937","20191201"
"14329","5","뮤지컬빅피쉬","문화공연","뮤지컬","뮤지컬","2168","655","2823","20191201"
"14330","6","뮤지컬그리스","문화공연","뮤지컬","뮤지컬","2515","213","2728","20191201"
"14331","7","뮤지컬아이언마스크","문화공연","뮤지컬","라이선스","2034","143","2177","20191201"
"14332","8","뮤지컬미스터쇼","문화공연","뮤지컬","뮤지컬","1812","171","1983","20191201"
"14333","9","뮤지컬웃는남자","문화공연","뮤지컬","창작","1573","140","1713","20191201"
"14334","10","뮤지컬위윌락유","문화공연","뮤지컬","라이선스","1416","284","1700","20191201"
